start,end,span_days,net_target_change_pp,decreases,files
2016-07-29,2016-08-06,8.0,0.024616718292236328,2,hmi.m_45s.2016.07.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.07.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.01_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.06_00_01_30_TAI.magnetogram_processed.npy
2016-07-30,2016-08-07,8.0,0.023859739303588867,2,hmi.m_45s.2016.07.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.01_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.06_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.07_00_01_30_TAI.magnetogram_processed.npy
2016-08-17,2016-08-25,8.0,-0.020802021026611328,2,hmi.m_45s.2016.08.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.24_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.25_00_01_30_TAI.magnetogram_processed.npy
2016-08-18,2016-08-28,10.0,0.10001063346862815,1,hmi.m_45s.2016.08.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.24_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.28_00_01_30_TAI.magnetogram_processed.npy
2016-08-22,2016-08-30,8.0,0.1106441020965574,1,hmi.m_45s.2016.08.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.24_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.28_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.30_00_01_30_TAI.magnetogram_processed.npy
2016-08-24,2016-08-31,7.0,0.06303191184997536,2,hmi.m_45s.2016.08.24_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.28_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.31_00_01_30_TAI.magnetogram_processed.npy
2016-08-25,2016-09-01,7.0,0.060927867889404075,2,hmi.m_45s.2016.08.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.28_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.08.31_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.01_00_01_30_TAI.magnetogram_processed.npy
2016-09-10,2016-09-19,9.0,-0.11785626411437988,2,hmi.m_45s.2016.09.10_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.15_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.19_00_01_30_TAI.magnetogram_processed.npy
2016-09-15,2016-09-25,10.0,0.027555227279662864,2,hmi.m_45s.2016.09.15_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.25_00_01_30_TAI.magnetogram_processed.npy
2016-09-17,2016-09-26,9.0,0.02446770668029785,2,hmi.m_45s.2016.09.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.26_00_01_30_TAI.magnetogram_processed.npy
2016-09-18,2016-09-27,9.0,0.0019609928131103516,3,hmi.m_45s.2016.09.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.26_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.27_00_01_30_TAI.magnetogram_processed.npy
2016-09-19,2016-09-28,9.0,-0.03162026405334473,3,hmi.m_45s.2016.09.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.26_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.27_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.09.28_00_01_30_TAI.magnetogram_processed.npy
